@relation DataSetTrain_p1
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C}
@data
1006.93335,132.19783,1002.3,136.39465,973.0833,123.89175,A
1024.0,0.0,1021.86664,11.5853,951.65,138.07722,A
1023.63336,2.840189,1024.0,0.0,971.6667,124.87713,A
1020.0833,21.35756,995.48334,83.00857,957.0833,148.98535,A
1023.26666,3.9824371,1015.4667,51.98939,975.5333,117.83594,A
1012.9167,28.293427,1017.2167,37.041473,1011.1667,51.893032,A
1024.0,0.0,1019.36664,35.889645,946.35,142.61584,A
1024.0,0.0,986.25,110.96337,951.75,144.91194,A
1019.0,22.427279,1005.48334,70.27367,991.6,105.23954,A
1017.5833,29.014484,1000.5,86.33353,953.48334,145.57924,A
986.5833,95.351135,969.18335,130.41728,955.61664,107.56817,B
993.0,100.35681,1018.65,29.118008,958.85,123.712166,B
1013.68335,56.885105,1012.25,63.83895,981.93335,80.43987,B
989.4667,107.636314,1002.65,85.67732,1001.2,80.12803,B
993.75,111.54456,998.73334,87.343254,991.93335,98.84929,B
958.88336,137.52055,1015.81665,51.23674,981.26666,95.31977,B
1006.56665,77.063774,1011.55,67.63872,992.2833,103.960396,B
981.2833,117.56025,1004.76666,77.54964,1006.55,74.862465,B
978.8,127.95388,996.5833,92.940544,1010.81665,64.48191,B
977.01666,125.87168,998.73334,99.47846,935.38336,158.56432,B
1024.0,0.0,968.8333,134.16956,966.3333,129.64198,C
1024.0,0.0,900.51666,222.8105,973.43335,117.80685,C
1024.0,0.0,886.26666,203.3557,915.0333,156.81198,C
1024.0,0.0,901.9167,195.0379,840.68335,203.47414,C
1024.0,0.0,964.93335,154.85936,977.01666,121.557755,C
1024.0,0.0,847.13336,230.21411,849.63336,211.92162,C
1024.0,0.0,847.48334,217.14616,840.7167,208.1262,C
1020.7833,17.575111,833.9167,207.0551,818.3,200.61864,C
1024.0,0.0,818.65,233.0507,777.6667,217.44376,C
1024.0,0.0,846.76666,225.64021,883.06665,196.29813,C
