m_x,sd_x,m_y,sd_y,m_z,sd_z,label
1024.0,0.0,1006.93335,132.19783,1007.3333,129.09944,A
1019.0,19.86821,1022.56665,8.691248,1001.9167,76.79254,A
1015.7833,24.342958,1021.5,19.364918,1009.0333,57.30116,A
1024.0,0.0,1018.3,27.777763,1019.36664,30.749376,A
1024.0,0.0,1020.8,24.787094,1024.0,0.0,A
1016.85,23.883768,1019.35,30.503023,970.26666,123.882416,A
1017.93335,27.33091,1005.8333,64.61991,996.5833,84.645485,A
1023.63336,2.840189,1005.48334,65.46275,996.95,89.787964,A
1018.98334,20.620455,1001.2,82.293365,1004.7833,84.83206,A
1009.0,48.635975,996.25,102.79216,952.4667,173.06767,A
1014.38336,42.98999,1007.25,54.842937,1004.7833,79.716484,B
1018.6667,41.311825,995.88336,95.130974,996.95,98.189964,B
1005.48334,71.28518,1001.2167,78.62959,985.56665,99.648796,B
1001.2167,73.14048,1007.25,59.798992,1003.3333,63.781578,B
1019.36664,35.88965,996.95,76.918724,1002.9667,67.07269,B
1010.81665,58.129753,1017.95,34.26835,1007.61664,57.01148,B
1002.63336,73.6952,989.8,85.80482,984.81665,92.48554,B
1009.76666,54.13491,984.45,84.56038,959.15,109.865364,B
1013.68335,56.05914,987.68335,106.50273,976.3,108.62411,B
1001.2167,74.16977,993.01666,88.70221,988.7167,94.97157,B
1024.0,0.0,826.4667,214.43683,879.15,181.81497,C
1024.0,0.0,877.36664,188.99698,853.8333,200.85812,C
1024.0,0.0,841.7833,204.79797,875.6,183.50093,C
1024.0,0.0,846.4167,191.49371,869.9,172.29065,C
1024.0,0.0,832.9,202.09073,891.9167,149.9455,C
1024.0,0.0,802.3,207.39188,917.86664,147.24548,C
1024.0,0.0,791.98334,213.89185,864.9167,176.3771,C
1024.0,0.0,811.9167,223.23184,866.2833,174.7816,C
1024.0,0.0,874.85,196.95328,942.1,141.83397,C
1024.0,0.0,888.4667,211.47255,844.65,222.73267,C
