m_x,sd_x,m_y,sd_y,m_z,sd_z,label
894.45,143.52977,946.4167,167.78339,906.65,174.72679,C
659.85,56.448795,959.1667,143.28706,896.0,182.54697,C
642.4,40.03735,932.9,177.40845,935.0333,163.23543,C
662.7167,76.86197,930.38336,197.10645,888.05,180.63184,C
833.15,174.44484,927.9,176.01656,856.13336,215.2093,C
680.4167,106.07958,894.45,219.14735,595.25,157.87375,C
658.4167,145.56944,901.85,201.95544,826.48334,210.44028,C
635.4667,63.767986,937.85,175.63763,908.9667,184.49435,C
590.75,108.71774,851.5833,217.99242,902.3,195.26215,C
797.5833,207.00772,874.13336,218.38058,857.01666,213.93886,C
513.73334,137.84846,930.8,182.59254,929.26666,173.16788,C
786.9667,234.09851,872.76666,228.1457,884.9667,227.11021,C
823.0333,202.42326,905.8,170.61102,900.8,189.91924,C
859.23334,184.6715,882.88336,156.3321,898.75,166.82852,C
842.1667,224.27484,837.18335,180.23123,1018.63336,19.977081,C
808.0833,253.14465,882.55,202.85904,941.43335,150.27773,C
804.48334,254.41362,934.6667,174.53848,947.2,154.89621,C
809.0333,235.06252,865.36664,254.08194,908.6667,189.6068,C
834.8,214.54567,909.18335,155.63168,1024.0,0.0,C
474.4,111.94555,974.25,24.723982,954.5333,140.3327,C
499.65,201.36717,974.61664,27.830666,1024.0,0.0,C
720.4667,256.72757,851.43335,238.72148,873.01666,199.73929,C
863.13336,192.70569,828.43335,226.84499,905.06665,204.5454,C
555.3,120.70503,914.0333,210.68079,952.4667,160.33614,C
788.55,241.18759,823.25,181.89519,915.1667,195.94402,C
825.8,201.93454,890.56665,220.54248,873.73334,215.94836,C
897.61664,170.57373,862.61664,179.24747,868.2167,210.6335,C
858.85,213.5033,788.75,139.69984,931.1667,172.04723,C
890.18335,186.95805,837.9167,202.0256,924.76666,181.58636,C
866.7167,211.58476,874.1667,222.15997,900.86664,181.36546,C
