@relation ArjoTest
@attribute slope_x numeric
@attribute slope_y numeric
@attribute slope_z numeric
@attribute label {A,B,C}
@data
-1.1615385,-0.15923077,-0.4253846,A
-1.4115385,-0.12384615,-0.51461536,A
-2.0292308,-0.09307692,-0.63,A
-1.6530769,-0.16461538,-0.5830769,A
-2.8276923,0.0,-0.5784615,A
0.0,-0.21692307,-0.08923077,A
-1.5315385,-0.15769231,-0.46153846,A
0.0,-0.056153845,-0.5761539,A
-1.2469231,-0.16307692,-0.3653846,A
-2.0561538,-0.33615384,-0.57153845,A
-0.2476923,-0.10923077,-0.14692308,B
1.7376924,-0.16615385,-0.5669231,B
1.6530769,0.0,-0.39153847,B
1.3492308,-0.13076924,-0.3146154,B
-0.41384616,-0.13846155,0.0,B
1.3361539,-0.19923078,-0.2923077,B
1.4615384,-0.10307692,-0.45,B
1.7307693,-0.12846154,-0.43461537,B
1.4607692,-0.20384616,-0.22538461,B
1.5453846,-0.19307692,-0.36076924,B
2.1523077,-0.087692305,-0.21153846,B
1.7292308,-0.19461538,-0.24615385,B
0.09615385,0.0,-0.4369231,C
0.0,0.07692308,-1.5053846,C
0.06538462,0.0,-2.1276922,C
0.17384616,0.0,-0.69,C
0.103846155,-0.08846154,-1.1007693,C
0.10846154,0.113076925,-1.76,C
0.20846154,-0.22846153,-0.56,C
0.11692308,0.0,-1.6607692,C
0.076153845,0.0,-1.1069231,C
0.0,0.0,-0.93846154,C
0.22076923,0.0,-0.77692306,C
0.05,0.24923077,-1.4853846,C
