m_x,sd_x,m_y,sd_y,m_z,sd_z,label
788.45,329.22086,917.6667,119.03265,940.0,166.4455,A
502.61667,372.55283,910.56665,153.05206,896.25,183.4374,A
792.73334,279.7331,642.8,157.44147,933.3,153.13608,A
849.3,241.72472,930.45,151.19922,963.11664,150.65373,A
792.0,314.274,938.8333,131.87585,996.5833,88.02663,A
853.1667,265.09335,995.85,71.84017,879.18335,218.63202,A
847.8333,283.26196,906.11664,191.12654,532.25,186.48067,A
838.9667,249.80191,941.0,124.809975,794.13336,203.57281,A
862.45,233.63754,934.55,138.05605,910.48334,181.54344,A
894.45,218.2817,991.93335,82.193825,755.4,229.14168,A
970.25,147.38184,508.11667,247.38275,882.7,186.84749,B
810.0833,243.6786,586.93335,270.4058,1024.0,0.0,B
774.48334,281.0693,549.8333,244.40549,1017.23334,23.448011,B
804.05,272.5227,534.61664,241.45717,880.11664,235.1722,B
816.15,248.52534,568.9667,219.50163,1016.48334,23.308165,B
788.7167,304.2976,653.7,198.75839,901.65,188.00323,B
804.43335,244.63446,569.26666,228.12572,840.38336,182.81924,B
803.0833,255.26283,604.36664,226.68318,977.9667,37.33222,B
811.06665,237.36717,542.8,245.38554,990.81665,76.410446,B
817.65,293.71094,637.7833,241.54955,877.23334,184.801,B
891.8,132.08765,880.05,131.07011,720.48334,271.05423,C
943.56665,75.06097,767.7833,182.3032,814.63336,225.07858,C
1005.4167,44.701004,794.9167,144.24734,744.6,248.11813,C
968.05,85.36988,915.75,145.54417,685.15,244.54697,C
790.38336,176.94276,946.7,118.38164,748.45,221.9902,C
811.4667,122.317116,766.0833,113.64073,762.43335,168.70972,C
738.36664,137.68599,815.18335,106.34777,564.51666,214.92729,C
810.23334,151.12193,835.8333,120.71572,773.4167,197.14377,C
838.68335,124.80254,772.48334,118.48284,746.73334,204.3254,C
901.4167,82.89553,796.8333,143.06418,702.23334,208.41594,C
