m_x,sd_x,m_y,sd_y,m_z,sd_z,label
987.73334,185.70158,940.38336,206.39957,929.2833,111.71105,A
1007.63336,46.39877,936.36664,112.17209,886.15,150.165,A
1011.15,38.838135,953.4667,95.931206,882.23334,142.24928,A
1016.1667,28.067816,967.2833,64.817085,958.4,81.79765,A
1020.43335,16.78919,972.3,89.0546,971.93335,80.89685,A
1024.0,0.0,955.9167,98.945496,949.15,97.1045,A
1018.3,30.95446,955.2833,111.030914,854.9167,154.7912,A
1024.0,0.0,952.7833,110.22921,910.73334,117.51361,A
1024.0,0.0,932.11664,122.504814,890.0833,146.65053,A
1014.0,37.09447,933.48334,125.90292,914.26666,121.369545,A
1012.95,50.030983,993.38336,72.34571,1015.4,25.68664,B
987.3,88.08283,869.8333,144.29767,911.15,145.3471,B
978.06665,119.223755,930.7,130.33699,957.7167,114.976204,B
956.6667,131.41623,896.4667,149.991,912.5833,146.31415,B
970.23334,112.36358,926.76666,129.57877,955.2833,102.86835,B
943.9,140.25832,920.35,129.6727,932.81665,134.62874,B
1002.63336,72.26995,961.26666,108.90378,956.35,114.402016,B
999.1,94.72901,935.0,141.37857,967.35,104.889565,B
1009.05,81.28406,945.65,128.1944,942.1,139.74599,B
978.43335,119.37684,977.4,123.19592,983.73334,86.10515,B
952.4667,150.52849,905.1,176.31949,948.5,122.6857,B
1024.0,0.0,713.2833,261.21216,922.51666,140.67302,C
1023.2833,5.5512743,681.3333,271.40826,836.05,195.91632,C
1024.0,0.0,737.93335,301.41217,948.88336,137.39256,C
1024.0,0.0,754.3,283.57883,929.2833,140.92288,C
1023.2833,5.5512776,703.75,296.28482,958.1,115.76462,C
1024.0,0.0,693.45,308.2279,920.06665,164.94046,C
1024.0,0.0,771.0333,282.94992,1015.7833,37.17895,C
1024.0,0.0,703.06665,299.7341,969.5333,113.52284,C
1024.0,0.0,819.1,289.61682,970.5833,125.168,C
1024.0,0.0,786.7,308.89392,990.1667,91.0288,C
