@relation DataSetTrain_v2
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C}
@data
589.93335,275.3141,790.7833,117.99301,814.26666,122.82273,A
602.76666,266.63455,803.7,80.52819,987.2833,72.95022,A
587.45,305.66602,837.18335,133.79977,1013.26666,28.32431,A
516.38336,260.8345,773.73334,74.29784,990.5,84.182526,A
561.4667,243.16931,792.13336,93.22663,986.2167,86.38426,A
506.68332,232.81314,777.48334,101.12362,853.11664,76.0856,A
471.5,242.53925,786.86664,62.039783,1004.06665,52.144463,A
489.95,276.75375,769.0833,81.42717,982.31665,102.425385,A
486.48334,232.49837,752.2833,51.176674,803.65,127.79613,A
461.93332,253.85661,761.93335,100.83695,1010.8333,38.70494,A
558.2,259.1991,769.11664,105.70016,947.2833,99.741554,A
594.23334,281.33615,753.76666,79.3771,789.6,124.65102,A
795.9167,293.9214,799.98334,71.78649,964.11664,81.99071,A
574.6667,298.2475,757.7,109.83134,997.2833,72.359535,A
571.4,259.07227,753.05,75.929596,946.8,65.08867,A
847.05,90.926735,481.11667,247.97006,864.4,64.69831,B
875.0,94.87656,547.9,254.18405,818.18335,66.16325,B
864.7833,98.83027,463.95,229.90999,728.7833,49.400875,B
901.86664,102.42312,593.1,285.96948,823.75,83.62842,B
808.25,47.334965,516.31665,270.06293,840.1,22.128817,B
785.45,55.19286,502.51666,266.71423,860.45,47.11272,B
860.98334,106.92683,543.0,363.78342,902.61664,64.91563,B
788.95,99.56034,596.2833,278.04654,772.98334,106.39048,B
838.86664,105.54743,658.23334,279.5017,817.3,110.82693,B
806.48334,86.12869,607.01666,290.37814,784.43335,107.798706,B
826.73334,125.40453,663.51666,284.9094,750.15,170.97916,B
821.43335,107.32301,621.9,284.32547,811.26666,108.52369,B
813.98334,113.27128,670.98334,278.45316,733.93335,171.34084,B
778.4167,116.54665,643.6,261.43204,679.01666,170.56349,B
825.95,121.86661,726.48334,253.64883,743.86664,169.84651,B
780.5333,197.48651,918.7,89.45716,706.61664,288.19104,C
773.86664,195.18274,955.85,53.07679,647.56665,319.83572,C
755.61664,168.17085,829.75,111.884735,575.0,307.57205,C
702.65,145.8289,770.35,120.50571,515.61664,304.56384,C
708.63336,165.5113,712.6667,141.91982,454.78333,309.48904,C
748.25,177.94025,817.4,145.62444,632.2833,303.8213,C
801.5,197.36214,853.01666,91.84628,579.2833,302.3905,C
784.81665,203.67372,789.25,121.016846,505.0,278.8213,C
796.56665,193.33856,754.5,127.35222,490.61667,302.96432,C
719.01666,194.59787,783.56665,117.69629,465.85,300.5703,C
645.0333,163.98564,822.05,70.238174,487.16666,284.76233,C
827.1667,207.89218,822.48334,123.10747,555.7,294.66428,C
749.26666,200.45,808.7167,95.073235,530.48334,278.3846,C
674.31665,140.75119,773.9,127.416306,547.2167,269.7211,C
668.38336,156.41743,839.9,86.39479,501.38333,303.42386,C
667.43335,135.01907,723.73334,118.78267,466.8,259.29425,C
731.8333,178.57886,746.31665,120.485794,466.18332,300.3455,C
