@relation DataSetTrain_p4
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C}
@data
977.05,157.03055,1010.4667,64.62105,981.2833,107.45594,A
998.7,77.282295,1020.8,24.787092,996.5833,79.504265,A
998.35,74.01576,1008.7,60.768616,990.1667,88.38057,A
997.6667,74.72405,1020.0833,25.30914,988.0333,90.66098,A
999.45,75.37421,1024.0,0.0,1015.4667,58.284935,A
983.76666,98.64546,1000.86664,83.48907,999.45,83.53816,A
979.4667,96.33654,1015.45,44.50459,1012.6,59.9506,A
998.7167,68.39569,1020.8,24.787096,1005.85,80.45713,A
996.95,77.325066,1024.0,0.0,1007.9667,61.31385,A
976.3,91.95655,996.6,94.17063,979.1667,108.18944,A
997.65,77.49748,999.43335,82.2669,982.01666,123.73405,B
1014.38336,42.4568,989.13336,99.8963,965.25,133.96368,B
1012.95,48.623566,997.3,83.01159,965.63336,139.6119,B
994.1,72.95778,994.4,73.09553,945.3,153.5417,B
1011.88336,48.094574,1002.61664,72.56629,990.88336,102.96325,B
1014.75,40.721306,988.4,102.08042,971.31665,130.36409,B
1009.4,56.525444,990.55,89.68521,969.5333,125.2345,B
1010.48334,59.971603,993.73334,90.79477,973.81665,131.71883,B
1009.75,54.752644,989.4667,96.634476,972.36664,130.15323,B
1000.5,73.24107,968.11664,134.37173,976.2833,116.5299,B
1024.0,0.0,932.55,192.7389,911.23334,188.57658,C
1022.93335,8.262365,896.56665,197.4609,914.38336,172.05191,C
1024.0,0.0,840.7,237.44379,885.2167,186.72911,C
1024.0,0.0,924.7,173.3311,865.2833,201.31512,C
1017.23334,36.8029,965.61664,149.56163,935.05,178.25769,C
1024.0,0.0,918.65,181.78137,953.15,126.04463,C
1024.0,0.0,953.86664,142.04279,961.6667,112.39483,C
1024.0,0.0,933.9667,173.68097,937.13336,151.8682,C
1024.0,0.0,995.88336,82.96419,948.51666,135.95433,C
1024.0,0.0,954.25,165.63611,996.93335,80.65934,C
