@relation DataSetTrain
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A, B, C}
@data
1006.93335,132.19783,1006.93335,132.19783,1024.0,0.0,A
912.9167,148.98994,960.2167,87.996765,934.68335,138.2037,A
906.51666,168.36427,942.11664,124.50896,947.4667,142.27849,A
867.76666,153.25328,900.7833,136.94797,854.2,201.50209,A
843.23334,154.96794,862.68335,125.35946,879.85,172.77722,A
844.86664,143.52489,856.1,136.56544,866.63336,175.68622,A
842.8,162.90576,943.15,118.69729,771.73334,221.95499,A
888.3,117.29772,833.5,159.51724,875.76666,177.35197,A
821.43335,134.9903,910.31665,105.83609,857.4167,182.75816,A
770.4,128.06671,930.5,82.931366,712.65,214.45801,A
820.88336,144.77458,951.73334,114.873985,883.01666,168.41608,A
848.4,159.85768,858.56665,141.90204,819.68335,212.79227,A
883.48334,93.98023,657.13336,207.57379,796.1667,215.4263,A
859.1667,136.85545,742.73334,174.72202,820.38336,198.33873,A
850.9167,150.32753,723.23334,178.29424,820.6,179.81999,A
899.01666,129.39548,777.15,218.0751,948.4667,134.22278,A
866.3,135.67223,747.3333,151.86472,916.75,132.44554,A
876.85,121.60253,713.75,157.35936,900.1,144.41579,A
863.7,147.28813,734.36664,182.15114,881.9667,202.90833,A
849.1,131.22972,690.61664,197.19815,877.5833,182.52237,A
866.0333,125.96959,745.05,170.04723,913.9167,158.39516,A
899.4,93.224884,742.4167,152.7413,941.2833,100.50888,A
864.48334,133.75755,728.2167,181.60272,939.55,128.75775,A
870.11664,126.34649,725.05,185.35086,890.0833,155.98415,A
871.48334,125.818565,726.7833,193.50749,893.73334,177.01038,A
876.0,116.41728,680.1667,217.4,976.11664,99.45787,A
876.5333,130.55533,720.48334,213.869,954.13336,110.34912,A
878.5833,119.850945,718.98334,189.99107,926.31665,136.91211,A
868.76666,129.89888,724.61664,191.27397,916.0,148.99088,A
866.01666,137.63689,755.7,165.52084,927.75,135.23785,A
917.26666,211.68748,457.55,168.72577,604.0833,29.221706,B
905.11664,230.92952,486.9,47.288403,558.6667,17.262344,B
939.2833,194.82951,527.6,51.15652,575.61664,7.371709,B
890.15,242.19319,562.3,43.629528,560.8333,24.14868,B
