m_x,sd_x,m_y,sd_y,m_z,sd_z,label
917.26666,198.97562,539.0,191.56421,877.4667,209.53862,C
953.56665,185.94955,562.6,58.250546,899.38336,202.9045,C
950.3333,173.48097,709.68335,47.205826,574.3,85.761055,C
897.7167,237.11752,543.2167,79.09856,573.8,14.02274,C
902.35,232.63116,485.03333,39.22121,563.63336,32.264782,C
951.73334,184.98674,557.9667,32.5295,880.3,212.94441,C
937.88336,197.84305,560.1,28.434694,592.8333,131.2435,C
926.15,183.82748,636.0,34.913445,601.23334,23.48195,C
928.6667,204.88954,514.61664,57.72379,560.43335,21.711025,C
911.18335,256.93646,555.48334,38.279736,515.5,11.706145,C
